"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007304","GO:0007304","chorion-containing eggshell formation","21/718","50/11378",5.61623853909907e-13,1.0180245565534e-09,9.85024806201543e-10,"FBgn0000427/FBgn0037405/FBgn0014464/FBgn0086265/FBgn0038011/FBgn0036938/FBgn0014465/FBgn0052642/FBgn0085362/FBgn0039709/FBgn0014466/FBgn0052644/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0030439/FBgn0261963/FBgn0086266/FBgn0003979/FBgn0032311",21
"GO:0030703","GO:0030703","eggshell formation","21/718","51/11378",8.98917930731475e-13,1.0180245565534e-09,9.85024806201543e-10,"FBgn0000427/FBgn0037405/FBgn0014464/FBgn0086265/FBgn0038011/FBgn0036938/FBgn0014465/FBgn0052642/FBgn0085362/FBgn0039709/FBgn0014466/FBgn0052644/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0030439/FBgn0261963/FBgn0086266/FBgn0003979/FBgn0032311",21
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","25/718","78/11378",4.67880354550648e-12,3.53249667685739e-09,3.41798911640157e-09,"FBgn0036715/FBgn0039709/FBgn0000071/FBgn0015609/FBgn0038247/FBgn0024189/FBgn0001075/FBgn0017590/FBgn0038494/FBgn0005775/FBgn0030617/FBgn0038439/FBgn0025878/FBgn0038498/FBgn0039584/FBgn0037107/FBgn0001083/FBgn0000636/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0038087/FBgn0265296",25
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","18/718","48/11378",2.48299045223554e-10,1.40599334357837e-07,1.36041740040905e-07,"FBgn0036715/FBgn0039709/FBgn0015609/FBgn0038247/FBgn0024189/FBgn0001075/FBgn0017590/FBgn0005775/FBgn0038439/FBgn0025878/FBgn0037107/FBgn0001083/FBgn0000636/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0265296",18
"GO:0007305","GO:0007305","vitelline membrane formation involved in chorion-containing eggshell formation","9/718","13/11378",8.59176378792233e-09,2.7800492828063e-06,2.68993266262471e-06,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0086266/FBgn0003979",9
"GO:0030704","GO:0030704","vitelline membrane formation","9/718","13/11378",8.59176378792233e-09,2.7800492828063e-06,2.68993266262471e-06,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0086266/FBgn0003979",9
"GO:0035803","GO:0035803","egg coat formation","9/718","13/11378",8.59176378792233e-09,2.7800492828063e-06,2.68993266262471e-06,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0086266/FBgn0003979",9
"GO:0085029","GO:0085029","extracellular matrix assembly","11/718","22/11378",2.17686985247715e-08,6.16326276982592e-06,5.96347767481239e-06,"FBgn0086265/FBgn0085362/FBgn0039709/FBgn0003980/FBgn0000359/FBgn0040949/FBgn0014076/FBgn0033438/FBgn0086266/FBgn0003979/FBgn0026403",11
"GO:0008037","GO:0008037","cell recognition","25/718","121/11378",1.07548404279192e-07,2.70663484102633e-05,2.61889798490383e-05,"FBgn0264273/FBgn0015609/FBgn0030887/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0033791/FBgn0010114/FBgn0040099/FBgn0005775/FBgn0039528/FBgn0041097/FBgn0000636/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0036202/FBgn0035539/FBgn0085414/FBgn0000504/FBgn0085407/FBgn0265296",25
"GO:0007411","GO:0007411","axon guidance","39/718","253/11378",1.70270588709256e-07,3.85662883426464e-05,3.73161437571232e-05,"FBgn0264273/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0265296",39
"GO:0098609","GO:0098609","cell-cell adhesion","27/718","142/11378",2.03235280793333e-07,4.1847991908809e-05,4.04914693408343e-05,"FBgn0036715/FBgn0039709/FBgn0000071/FBgn0015609/FBgn0038247/FBgn0024189/FBgn0001075/FBgn0017590/FBgn0038494/FBgn0005775/FBgn0030617/FBgn0038439/FBgn0025878/FBgn0038498/FBgn0000180/FBgn0039584/FBgn0037107/FBgn0001083/FBgn0000636/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003255/FBgn0038087/FBgn0265296",27
"GO:0008038","GO:0008038","neuron recognition","24/718","117/11378",2.2250833557945e-07,4.19984483406213e-05,4.0637048655826e-05,"FBgn0264273/FBgn0015609/FBgn0030887/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0033791/FBgn0010114/FBgn0005775/FBgn0039528/FBgn0041097/FBgn0000636/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0036202/FBgn0035539/FBgn0085414/FBgn0000504/FBgn0085407/FBgn0265296",24
"GO:0006935","GO:0006935","chemotaxis","40/718","271/11378",3.84999936540757e-07,6.31550143333053e-05,6.11078144960807e-05,"FBgn0264273/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0005775/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0265296",40
"GO:0097485","GO:0097485","neuron projection guidance","39/718","261/11378",3.90362119499459e-07,6.31550143333053e-05,6.11078144960807e-05,"FBgn0264273/FBgn0032651/FBgn0015609/FBgn0003312/FBgn0000411/FBgn0034013/FBgn0030887/FBgn0004595/FBgn0001325/FBgn0033438/FBgn0261963/FBgn0010453/FBgn0264442/FBgn0029123/FBgn0033791/FBgn0003435/FBgn0052227/FBgn0014179/FBgn0001138/FBgn0005677/FBgn0027491/FBgn0003896/FBgn0036494/FBgn0003300/FBgn0041097/FBgn0000636/FBgn0034476/FBgn0263219/FBgn0004839/FBgn0024836/FBgn0261046/FBgn0013433/FBgn0003169/FBgn0004368/FBgn0053202/FBgn0261509/FBgn0020391/FBgn0000504/FBgn0265296",39
"GO:0007155","GO:0007155","cell adhesion","34/718","218/11378",8.01021702856357e-07,0.00012095427713131,0.000117033486691013,"FBgn0036715/FBgn0264273/FBgn0039709/FBgn0000071/FBgn0015609/FBgn0038247/FBgn0024189/FBgn0001075/FBgn0017590/FBgn0038494/FBgn0005775/FBgn0030617/FBgn0038439/FBgn0025878/FBgn0038498/FBgn0026403/FBgn0000180/FBgn0039584/FBgn0037107/FBgn0001083/FBgn0000636/FBgn0263038/FBgn0263219/FBgn0004839/FBgn0040309/FBgn0024836/FBgn0036985/FBgn0261046/FBgn0013433/FBgn0284435/FBgn0020269/FBgn0003255/FBgn0038087/FBgn0265296",34
